short_name	category
ALT	Blood biochemistry
LDL	Blood biochemistry
TRIG	Blood biochemistry
GLUC	Blood biochemistry
GGT	Blood biochemistry
HDL	Blood biochemistry
UA	Blood biochemistry
CHOL	Blood biochemistry
BUN	Blood biochemistry
AST	Blood biochemistry
CRE	Blood biochemistry
RBC	Blood count
PLT	Blood count
NEUT	Blood count
MONO	Blood count
LYMPH	Blood count
Hb	Blood count
EOS	Blood count
WBC	Blood count
PULSE	Blood pressure
SBP	Blood pressure
DBP	Blood pressure
WAIST	Body size measures
HEIGHT	Body size measures
BMI	Body size measures
WEIGHT	Body size measures
